"fecha";"Run Fondo";"Serie";"Período";"Rentabilidad"
2023-07-12;"8795";APV1;"1M";0.058993425022831225
2023-07-12;"8795";APV1;"3M";0.25845629889237
2023-07-12;"8795";APV1;"6M";0.20468226897947384
2023-07-12;"8795";APV1;"1Y";0.16769417835564138
2023-07-12;"8795";APV1;YTD;0.3135780423190673
2023-07-13;"8795";APV1;"1M";0.08138708603105904
2023-07-13;"8795";APV1;"3M";0.29222108119443146
2023-07-13;"8795";APV1;"6M";0.23291485134891543
2023-07-13;"8795";APV1;"1Y";0.18175941826722308
2023-07-13;"8795";APV1;YTD;0.3403558603668999
2023-07-14;"8795";APV1;"1M";0.04628801589770881
2023-07-14;"8795";APV1;"3M";0.2856760319996172
2023-07-14;"8795";APV1;"6M";0.22527243908488281
2023-07-14;"8795";APV1;"1Y";0.16020063670684914
2023-07-14;"8795";APV1;YTD;0.33195461003638305
2023-07-15;"8795";APV1;"1M";0.036402284483048275
2023-07-15;"8795";APV1;"3M";0.28568475791646764
2023-07-15;"8795";APV1;"6M";0.22528172857780726
2023-07-15;"8795";APV1;"1Y";0.2585101216050798
2023-07-15;"8795";APV1;YTD;0.3318716640416275
2023-07-16;"8795";APV1;"1M";0.05653908769334848
2023-07-16;"8795";APV1;"3M";0.28569384493332817
2023-07-16;"8795";APV1;"6M";0.2691737649914008
2023-07-16;"8795";APV1;"1Y";0.2585332644465568
2023-07-16;"8795";APV1;YTD;0.33178889747851414
2023-07-17;"8795";APV1;"1M";0.07811355764225936
2023-07-17;"8795";APV1;"3M";0.29626669485524126
2023-07-17;"8795";APV1;"6M";0.27108924312564064
2023-07-17;"8795";APV1;"1Y";0.2842621250450019
2023-07-17;"8795";APV1;YTD;0.3589000122823174
2023-07-18;"8795";APV1;"1M";0.06706174702584056
2023-07-18;"8795";APV1;"3M";0.32152232638627565
2023-07-18;"8795";APV1;"6M";0.28560485112540834
2023-07-18;"8795";APV1;"1Y";0.3876909621707907
2023-07-18;"8795";APV1;YTD;0.3448860476490141
2023-07-19;"8795";APV1;"1M";0.028776178705176347
